                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5817,                 1.4232,                 1.4374,                0.59197,                0.75616,                 0.6418,                0.30521,                 1.8903,                 1.2864,                 1.6769,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.5651,                 1.3739,                 1.3922,                0.63192,                  0.772,                0.68065,                0.32525,                 1.9081,                 1.2213,                 1.7183,               0.000467,               0.000467,               0.000467
                     36,                  1.555,                 1.3397,                 1.4081,                0.68686,                0.67875,                0.67395,                0.32013,                 1.9197,                 1.2068,                 1.7215,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.5529,                 1.3619,                 1.4378,                0.68589,                0.62088,                0.64196,                0.32077,                 1.9104,                 1.2664,                 1.7299,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.4981,                 1.3268,                 1.3886,                0.77073,                0.70182,                0.70872,                0.34026,                 1.9047,                 1.2011,                 1.7437,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.5674,                 1.3429,                 1.4195,                0.66539,                0.69304,                0.67188,                  0.339,                 1.8834,                 1.1569,                 1.6719,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.4971,                 1.3013,                 1.3605,                0.65166,                0.72161,                 0.6762,                0.34069,                 1.8475,                 1.1521,                 1.6479,             0.00032553,             0.00032553,             0.00032553
                     41,                   1.82,                 1.4855,                 1.6975,                0.73603,                0.59158,                0.68675,                 0.3184,                 1.9052,                 1.2236,                 1.6982,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.8137,                 1.4493,                 1.6385,                0.73436,                0.64286,                0.68934,                0.35476,                 1.7731,                 1.1584,                 1.6362,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.7704,                 1.4575,                 1.6291,                0.73503,                0.60697,                 0.6702,                0.34183,                 1.8421,                 1.3404,                 1.6834,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.7314,                 1.3903,                 1.6083,                0.66704,                0.69414,                0.69916,                0.36735,                 1.7795,                 1.2315,                 1.6119,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.7151,                 1.4042,                 1.5788,                0.80883,                0.64145,                 0.7079,                0.36828,                  1.824,                 1.1861,                 1.6199,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.6866,                 1.3656,                 1.6018,                0.69111,                 0.6685,                0.68231,                0.32064,                 1.8527,                 1.2257,                 1.6674,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.6812,                 1.3291,                 1.5693,                0.74004,                0.69414,                0.71166,                0.36246,                 1.7751,                 1.1408,                 1.5948,             0.00012747,             0.00012747,             0.00012747
                     48,                  1.671,                 1.3481,                 1.5425,                0.71937,                0.69414,                0.73116,                0.37149,                  1.769,                 1.1233,                 1.5773,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.6626,                 1.2995,                 1.5487,                 0.7353,                0.69346,                0.73349,                0.37566,                 1.7669,                 1.1299,                 1.5912,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                  1.658,                 1.3101,                  1.556,                0.85585,                0.63826,                0.73125,                0.37026,                 1.7756,                 1.1339,                 1.5913,             4.2584e-05,             4.2584e-05,             4.2584e-05
